Name,Type,Description
Basketball,Sports,Pickup games and team practice in the gym every morning
Soccer,Sports,Intramural league with games on the back field Thursdays
Ultimate Frisbee,Sports,Casual co-ed pickup play on the main lawn
Yoga & Wellness,Sports,Morning stretch and mindfulness sessions before breakfast
Swimming,Sports,Lap swim and water polo in the pool
Yearbook,Project,Photography layout and writing the SHAD 2026 yearbook
Robotics,Project,Build program and compete with classmate-designed robots
Environmental Action,Project,Campus sustainability audit and a community garden build
Coding & App Design,Project,Build a real working app to pitch at closing ceremonies
Performing Arts,Project,Write rehearse and stage the end-of-program showcase
